4,1,(
3,1,START
5,1,)
4,3,(
0,3,8
0,3,5
2,3,+
5,3,)
4,4,(
0,4,20
0,4,6
2,4,-
5,4,)
4,5,(
0,5,7
0,5,4
2,5,*
5,5,)
4,5,(
0,5,6
0,5,2
2,5,-
5,5,)
4,6,(
0,6,20
0,6,6
2,6,/
5,6,)
4,7,(
0,7,20
0,7,6
2,7,%
5,7,)
4,8,(
0,8,2
0,8,5
2,8,^
5,8,)
4,10,(
0,10,3.5
0,10,2.0
2,10,+
5,10,)
4,11,(
0,11,9.0
0,11,2.0
2,11,|
5,11,)
4,12,(
0,12,50
1,12,CONTADOR
5,12,)
4,13,(
4,13,(
1,13,CONTADOR
5,13,)
4,13,(
0,13,2
3,13,RES
5,13,)
2,13,+
5,13,)
4,14,(
4,14,(
4,14,(
1,14,CONTADOR
5,14,)
0,14,50
6,14,>=
5,14,)
4,14,(
0,14,100
5,14,)
4,14,(
0,14,200
5,14,)
3,14,IFELSE
5,14,)
4,15,(
4,15,(
4,15,(
1,15,CONTADOR
5,15,)
0,15,60
6,15,<
5,15,)
4,15,(
4,15,(
4,15,(
1,15,CONTADOR
5,15,)
0,15,1
2,15,+
5,15,)
1,15,CONTADOR
5,15,)
3,15,WHILE
5,15,)
4,16,(
3,16,TRUE
3,16,FALSE
6,16,!=
5,16,)
4,17,(
4,17,(
4,17,(
4,17,(
0,17,8
0,17,2
2,17,*
5,17,)
4,17,(
0,17,3
0,17,1
2,17,+
5,17,)
2,17,-
5,17,)
0,17,2
2,17,^
5,17,)
1,17,FINAL
5,17,)
4,18,(
1,18,FINAL
5,18,)
4,19,(
3,19,END
5,19,)
